Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  40.054.675 ,  39.169.030 ,  41.106.871 ,  40.695.005 ,  39.263.299 ,  38.203.299 ,  38.508.157 ,  39.048.876 ,  39.038.987 ,  40.393.786 ,  40.407.669 ,  39.874.848 ,  475.764.500 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.812.898 ,  2.650.539 ,  2.868.574 ,  2.679.314 ,  2.666.895 ,  2.583.924 ,  2.658.452 ,  2.688.994 ,  2.689.093 ,  2.828.459 ,  2.723.638 ,  2.585.260 ,  32.436.038 
Nordeste,  6.715.170 ,  6.352.263 ,  6.581.659 ,  6.665.546 ,  6.655.929 ,  6.596.568 ,  6.520.394 ,  6.687.898 ,  6.636.681 ,  7.053.458 ,  7.184.242 ,  6.848.865 ,  80.498.674 
Sudeste,  20.078.364 ,  19.689.600 ,  20.852.953 ,  20.732.786 ,  19.736.424 ,  19.179.160 ,  19.272.779 ,  19.378.187 ,  19.599.718 ,  20.110.169 ,  20.154.429 ,  20.021.515 ,  238.806.083 
Sul,  7.526.624 ,  7.571.527 ,  7.771.959 ,  7.527.392 ,  7.190.267 ,  6.900.873 ,  7.049.956 ,  7.141.588 ,  6.955.336 ,  7.087.255 ,  7.173.508 ,  7.276.983 ,  87.173.268 
Centro-Oeste,  2.921.618 ,  2.905.102 ,  3.031.726 ,  3.089.967 ,  3.013.784 ,  2.942.775 ,  3.006.576 ,  3.152.209 ,  3.158.158 ,  3.314.445 ,  3.171.851 ,  3.142.225 ,  36.850.437 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  231.785 ,  230.774 ,  238.314 ,  244.509 ,  235.248 ,  231.225 ,  231.825 ,  249.042 ,  245.815 ,  272.863 ,  265.657 ,  235.615 ,  2.912.672 
Norte,  2.852.964 ,  2.651.457 ,  2.892.971 ,  2.696.785 ,  2.692.115 ,  2.654.733 ,  2.717.587 ,  2.740.023 ,  2.752.253 ,  2.854.447 ,  2.771.254 ,  2.662.331 ,  32.938.918 
Nordeste,  6.148.176 ,  5.830.843 ,  6.020.333 ,  6.103.823 ,  6.084.050 ,  6.008.233 ,  5.922.473 ,  6.065.236 ,  6.015.347 ,  6.404.249 ,  6.537.616 ,  6.240.489 ,  73.380.869 
Sudeste/C.Oeste,  23.295.126 ,  22.884.429 ,  24.183.293 ,  24.122.497 ,  23.061.619 ,  22.408.235 ,  22.586.316 ,  22.852.986 ,  23.070.236 ,  23.774.972 ,  23.659.633 ,  23.459.430 ,  279.358.773 
